,0,1,2,3,4,5,6,7,8,9,10,11
3,frwD,glnP,artQ,mdtG,oppD,ycjV,gadC,btuC,shiA,glvG,rbsC,btuB
4,JW0796,JW0847,JW1087,JW1242,JW1358,JW1490,JW1718,JW2076,JW3659,JW3789,JW3991,JW0804
5,glnH,artI,ptsG,kch,trkG,yddB,ydjN,gatC,glvB,corA,xylE,ybiT
6,JW0848,JW1109,JW1284,JW1436,JW1506,JW1725,JW1848,JW2085,JW3700,JW3878,JW3992,JW3993
7,artP,potD,sapD,ydcT,ego,chbA,znuB,yegT,bglF,rhaT,malG,malF
8,JW4072,JW4247,JW0226,JW1053,JW2173,JW2473,JW2362,JW2415,JW2531,JW2767,JW2973,JW3994
9,proP,fecE,prfH,rimJ,rplY,hyfH,dsdX,cysA,yphE,sdaC,exbD,malE
10,JW4081,JW4249,JW0395,JW1072,JW2249,wild_type,JW2380,wild_type,JW2417,JW2638,JW2772,wild_type
11,melB,fecC,queA,rluC,yfbG,wild_type,ypdD,wild_type,cysU,gabP,fucP,wild_type
12,JW2974,JW3995,JW4084,JW4251,JW0396,JW1075,JW2315,JW2154,JW2388,JW2418,JW2652,JW2797
13,exbB,malK,dcuB,fecA,tgt,rpmF,truA,fruA,mntH,cysP,proV,ptsP
14,JW3064,JW4038,JW4093,JW4264,JW0514,JW1423,JW2467,JW2156,JW2389,JW2454,JW2653,JW2813
15,exuT,gltP,cadB,sgcA,ppiB,rimL,hyfB,fruB,nupC,acrD,proW,yqeG
0,JW3101,JW4047,JW4166,JW4284,JW0836,JW5962,JW2469,JW2199,JW2406,JW2477,JW2673,JW2850
1,kbaZ,alsC,cycA,gntP,rimK,sra,hyfD,yojI,cysZ,focB,srlB,ygfO
2,JW3105,JW4049,JW4168,JW4331,JW0843,JW1707,JW2470,JW2217,JW2408,JW2478,JW5435,JW2900
3,agaS,alsB,ytfF,fhuF,rumB,rpmI,hyfE,atoE,ptsH,yfgO,ascF,cmtA
4,JW3106,JW4066,JW4199,JW4363,JW0868,wild_type,JW1753,JW2471,JW2303,JW2409,wild_type,JW2482
5,kbaY,phnD,treB,creD,aat,wild_type,selD,hyfF,hisP,ptsI,wild_type,uraA
6,JW2710,JW2901,JW3107,JW4201,JW0024,JW0936,JW1811,JW2472,JW2306,JW2410,JW2530,JW2760
7,ygbN,cmtB,agaB,mgtA,ileS,rmf,rrmA,hyfG,hisJ,crr,yphD,gudP
8,JW2955,JW3108,JW3110,JW3251,JW3416,JW3443,JW3512,JW0033,JW0418,JW0919,JW1302,JW1833
9,pitB,agaC,agaI,trkA,ugpE,nikC,dppB,caiF,cyoE,ssuA,ycjM,exoX
10,JW1934,JW2263,JW3130,JW3252,JW3417,JW3444,JW3538,JW0067,JW0499,JW1039,JW1322,JW1861
11,fliR,elaC,mtr,mscL,ugpA,nikD,xylF,tbpA,ybbW,msyB,mppA,torZ
12,JW1993,JW2345,JW3162,JW3298,JW3418,JW3445,JW3539,JW0076,JW0597,JW1111,JW1380,JW1863
13,sbcB,intS,yrbF,bfr,ugpB,nikE,xylG,ilvI,dsbG,potB,feaB,cutC
14,wild_type,JW2004,JW2375,JW3168,JW3313,JW3420,JW3540,JW0608,JW1119,JW1870,JW2006,JW2416
15,wild_type,hisB,ddg,yhbG,kefB,livG,xylH,citE,trmU,cheZ,hisA,cysW
0,JW3171,JW3315,JW3421,JW3496,JW3573,JW0254,JW0610,JW1144,JW1420,JW1887,JW2100,JW2434
1,ptsN,yheS,livM,dctA,mtlA,afuC,citC,pin,mdoD,araH,mrp,eutB
2,JW3173,JW3371,JW3422,JW3509,JW3628,JW0340,JW0743,JW1254,JW5907,JW1898,JW2240,JW2437
3,npr,feoA,livH,dppF,gltS,mhpC,modF,trpC,yncB,uvrC,yfaV,eutG
4,JW3196,JW3372,JW3423,JW3510,JW3629,JW0357,JW0780,JW1289,JW1474,JW1906,JW2254,JW2464
5,dcuD,feoB,livK,dppD,yicE,tauA,ybiH,puuP,adhP,fliZ,pmrD,gcvR
6,JW3250,JW5690,JW3441,JW3511,JW3641,JW0374,JW0844,JW1296,JW1492,JW1924,JW2260,JW2466
7,rsmB,gntT,nikA,dppC,uhpT,phoA,artJ,pspF,ydeM,fliH,menF,hyfA
8,wild_type,JW2475,JW2915,JW3102,JW3226,JW3025,JW3611,JW4107,JW0538,JW3385,JW0107,JW0496
9,wild_type,hyfJ,yqgE,agaV,panF,glnE,rpmG,efp,rusA,rtcR,ampE,hyi
10,JW0727,JW2483,JW3126,JW3253,JW3815,JW4129,JW0781,JW3468,JW0275,JW0526,JW0728,JW2598
11,tolQ,upp,yhbT,yhdL,tatC,miaA,rhlE,arsR,intF,ybcC,tolR,smpA
12,JW2926,JW3144,JW3312,JW3227,JW3858,JW4158,JW0983,JW3756,JW0316,JW0531,wild_type,wild_type
13,yggL,folP,yheV,prmA,dtd,rpsF,torD,rho,yahJ,emrE,wild_type,wild_type
14,JW2639,JW2932,JW3148,JW3330,JW3261,JW3907,JW4161,JW1586,JW4178,JW0346,JW0544,JW0864
15,csiR,nupG,greA,nirC,rpmJ,rpmE,rplI,dgsA,msrA,frmB,ybcS,cspD
0,JW2735,JW3157,JW3333,JW3311,JW4194,JW2088,JW4262,JW0368,JW0546,JW0918,JW2847,JW3065
1,ygcM,yrbA,frlA,slyD,pmbA,yegW,sgcR,sbmA,borD,ssuD,ssnA,exuR
2,wild_type,JW3176,JW2667,JW3326,JW3946,JW4333,JW2554,JW4359,JW0423,JW0558,JW0933,JW2869
3,wild_type,elbB,alaS,ppiA,rplK,rsmC,rseC,rob,ampG,nfrB,pqiA,bglA
4,JW5806,JW3193,JW2713,JW3563,wild_type,JW4050,JW4335,JW2555,JW0052,JW0445,JW0590,JW0934
5,tdcD,nanT,pcm,selB,wild_type,rpiR,rimI,rseB,surA,ybaA,cstA,pqiB
6,JW2913,JW3091,JW3216,JW2858,JW3564,JW4090,JW0406,JW3000,JW0106,JW0468,JW0720,JW0974
7,yggJ,yhaB,rng,lysS,selA,lysU,nusB,cpdA,ampD,fsr,mngA,cspG
8,JW1126,JW1345,JW1549,JW2067,JW2480,JW3024,JW3525,JW3425,JW3627,JW3897,JW4099,JW5967
9,intE,racC,cspB,ogrK,yfgD,rfaE,cspA,livJ,recG,glpK,aspA,sgcB
10,JW1127,JW1381,JW1550,JW2132,wild_type,JW2513,JW3234,JW3664,JW3469,JW3662,JW3911,JW4100
11,ymfG,tynA,cspF,sanA,wild_type,iscU,acrF,ibpA,arsB,yidE,metL,fxsA
12,JW4338,JW1297,JW1425,JW1573,JW2141,JW2602,JW3348,JW3894,JW3493,JW3663,JW3955,JW4108
13,osmY,pspA,tehA,rspA,yeiG,intA,gph,yiiT,yhjH,ibpB,thiS,ecnB
14,JW4341,JW1298,JW1426,JW1642,JW2197,JW2660,JW3363,JW3952,JW3499,JW3675,JW3956,JW4122
15,yjjV,pspB,tehB,nemA,eco,emrA,hslR,htrC,bcsZ,yidB,thiF,rsgA
0,JW4046,JW1299,JW1458,JW1670,JW2246,JW2661,wild_type,JW3440,JW3369,JW3534,JW3686,wild_type
1,alsE,pspC,nhoA,sufS,ais,emrB,wild_type,acpT,greB,yiaA,tnaA,wild_type
2,JW3978,JW4127,JW4111,JW1300,JW1525,JW1812,JW2310,JW2714,JW3461,wild_type,JW3370,JW3561
3,iclR,amiB,ampC,pspD,marB,cspC,cvpA,surE,yhiO,wild_type,yhgF,aldB
4,JW3725,JW4032,JW4208,JW4152,JW1301,JW1538,JW1884,JW2364,JW2753,JW3462,JW3620,JW3813
5,yieN,nrfB,yjgJ,ulaB,pspE,pinQ,yecG,emrY,chpA,uspA,dinD,tatA
6,JW4035,JW4248,JW4153,JW1339,JW1544,JW2046,JW2365,JW2836,JW3470,JW3415,JW3621,JW3838
7,nrfE,fecD,ulaC,intR,cspI,wzb,emrK,xdhC,arsC,ugpC,yicG,hemN
